component,location,carrier,0
Generator,BG0 0,offwind-dc,0.2916877547615185
Generator,BG0 0,onwind,0.108239471722273
Generator,BG0 0,residential rural solar thermal,0.017603531451775734
Generator,BG0 0,residential urban decentral solar thermal,0.019958592329058868
Generator,BG0 0,ror,0.1763282608695652
Generator,BG0 0,services rural solar thermal,0.015927665961145483
Generator,BG0 0,services urban decentral solar thermal,0.01752135201494252
Generator,BG0 0,solar,0.1436159264501527
Generator,BG0 0,solar rooftop,0.10138259181789802
Generator,BG0 0,solar-hsat,0.10885516569254682
Generator,BG0 0,urban central solar thermal,0.015033718228383352
Generator,CH0 0,load,0.0
Generator,CH0 0,nuclear,0.32313603561207316
Generator,CH0 0,onwind,0.032075670455940945
Generator,CH0 0,residential rural solar thermal,0.01658898154087378
Generator,CH0 0,residential urban decentral solar thermal,0.020440376444426797
Generator,CH0 0,ror,0.24851723952824867
Generator,CH0 0,services rural solar thermal,0.01452547614663725
Generator,CH0 0,services urban decentral solar thermal,0.018038663295781854
Generator,CH0 0,solar,0.13709847005981995
Generator,CH0 0,solar rooftop,0.13438053224526966
Generator,CH0 0,solar-hsat,0.11988919610969721
Generator,CH0 0,urban central solar thermal,0.01724515574799174
Generator,CZ0 0,load,0.0
Generator,CZ0 0,nuclear,0.4063816350169822
Generator,CZ0 0,onwind,0.15552710660370683
Generator,CZ0 0,residential rural solar thermal,0.012968062805705127
Generator,CZ0 0,residential urban decentral solar thermal,0.014481707317073171
Generator,CZ0 0,ror,0.3802591732092224
Generator,CZ0 0,services rural solar thermal,0.01080137206618138
Generator,CZ0 0,services urban decentral solar thermal,0.01191091725580679
Generator,CZ0 0,solar,0.10207499789305385
Generator,CZ0 0,solar rooftop,0.07870305864312126
Generator,CZ0 0,solar-hsat,0.09331162796253513
Generator,CZ0 0,urban central solar thermal,0.01450296918640124
Generator,DE0 0,load,0.0
Generator,DE0 0,nuclear,0.4724222631965998
Generator,DE0 0,offwind-ac,0.4808139043013489
Generator,DE0 0,offwind-dc,0.4506425066214156
Generator,DE0 0,onwind,0.24289646101656306
Generator,DE0 0,residential rural solar thermal,0.01456368699135997
Generator,DE0 0,residential urban decentral solar thermal,0.017537513629519375
Generator,DE0 0,ror,0.4578657621670633
Generator,DE0 0,services rural solar thermal,0.012364168597710834
Generator,DE0 0,services urban decentral solar thermal,0.015673461325969425
Generator,DE0 0,solar,0.10336622764782608
Generator,DE0 0,solar rooftop,0.07984341422376068
Generator,DE0 0,solar-hsat,0.09634900155185058
Generator,DE0 0,urban central solar thermal,0.018469041419011695
Generator,DE0 1,load,0.0
Generator,DE0 1,nuclear,0.4592657561810948
Generator,DE0 1,offwind-ac,0.45875663084555
Generator,DE0 1,offwind-dc,0.49656924698523414
Generator,DE0 1,onwind,0.19123592225940686
Generator,DE0 1,residential rural solar thermal,0.016100551674216087
Generator,DE0 1,residential urban decentral solar thermal,0.016889537008480424
Generator,DE0 1,ror,0.4632345219914311
Generator,DE0 1,services rural solar thermal,0.013705621279306081
Generator,DE0 1,services urban decentral solar thermal,0.014538747548086777
Generator,DE0 1,solar,0.10928153414054169
Generator,DE0 1,solar rooftop,0.08335710789368922
Generator,DE0 1,solar-hsat,0.09979334218462935
Generator,DE0 1,urban central solar thermal,0.01748486619640457
Generator,DK0 0,load,0.0
Generator,DK0 0,offwind-ac,0.46463316976528835
Generator,DK0 0,offwind-dc,0.4615476493641418
Generator,DK0 0,onwind,0.3936768009782818
Generator,DK0 0,residential rural solar thermal,0.010675759146711376
Generator,DK0 0,residential urban decentral solar thermal,0.014166700205256167
Generator,DK0 0,services rural solar thermal,0.009191084027274475
Generator,DK0 0,services urban decentral solar thermal,0.011357873510052777
Generator,DK0 0,solar,0.09751283293235989
Generator,DK0 0,solar rooftop,0.0733747139373775
Generator,DK0 0,solar-hsat,0.0970591848906399
Generator,DK0 0,urban central solar thermal,0.01345274202193996
Generator,DK1 0,load,0.0
Generator,DK1 0,offwind-ac,0.4949594644681113
Generator,DK1 0,offwind-dc,0.5074242160059242
Generator,DK1 0,onwind,0.4451819962143148
Generator,DK1 0,residential rural solar thermal,0.01075990741885899
Generator,DK1 0,residential urban decentral solar thermal,0.014472007282658168
Generator,DK1 0,services rural solar thermal,0.009459310348780722
Generator,DK1 0,services urban decentral solar thermal,0.01174277919805981
Generator,DK1 0,solar,0.09836798894838586
Generator,DK1 0,solar rooftop,0.0852577456041215
Generator,DK1 0,solar-hsat,0.10709678471794487
Generator,DK1 0,urban central solar thermal,0.014168916145448652
Generator,EE0 0,load,0.0
Generator,EE0 0,offwind-ac,0.34335760017078787
Generator,EE0 0,offwind-dc,0.3772918019889692
Generator,EE0 0,onwind,0.26479840776352676
Generator,EE0 0,residential rural solar thermal,0.01141316224585304
Generator,EE0 0,residential urban decentral solar thermal,0.012094711943145132
Generator,EE0 0,services rural solar thermal,0.010222499058434973
Generator,EE0 0,services urban decentral solar thermal,0.010751920699588595
Generator,EE0 0,solar,0.09906197958954646
Generator,EE0 0,solar rooftop,0.08617438241480581
Generator,EE0 0,solar-hsat,0.10459414110911344
Generator,EE0 0,urban central solar thermal,0.010321658058090426
Generator,ES0 0,load,0.0
Generator,ES0 0,nuclear,0.2396725968139167
Generator,ES0 0,offwind-ac,0.25959213976051093
Generator,ES0 0,offwind-dc,0.37562387270836367
Generator,ES0 0,onwind,0.15056168042564108
Generator,ES0 0,residential rural solar thermal,0.029927002323538635
Generator,ES0 0,residential urban decentral solar thermal,0.036454207671549214
Generator,ES0 0,ror,0.19857353846153847
Generator,ES0 0,services rural solar thermal,0.025693625901548677
Generator,ES0 0,services urban decentral solar thermal,0.03207004609484356
Generator,ES0 0,solar,0.14363324067751157
Generator,ES0 0,solar rooftop,0.16974947389147937
Generator,ES0 0,solar-hsat,0.13663346653059433
Generator,ES0 0,urban central solar thermal,0.01940772756532808
Generator,ES6 0,load,0.0
Generator,ES6 0,nuclear,0.23670320890966595
Generator,ES6 0,offwind-ac,0.21985033099875276
Generator,ES6 0,offwind-dc,0.2602604474755559
Generator,ES6 0,onwind,0.23056814859868538
Generator,ES6 0,residential rural solar thermal,0.01654742048862896
Generator,ES6 0,residential urban decentral solar thermal,0.019974192474192475
Generator,ES6 0,ror,0.20800853013351292
Generator,ES6 0,services rural solar thermal,0.014964590775537589
Generator,ES6 0,services urban decentral solar thermal,0.01852813092615691
Generator,ES6 0,solar,0.11444201493777599
Generator,ES6 0,solar rooftop,0.10423672625125548
Generator,ES6 0,solar-hsat,0.12153939965816835
Generator,ES6 0,urban central solar thermal,0.006142778181716734
Generator,EU,biogas,0.0
Generator,EU,load,0.0
