name,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_nom_set,p_min_pu,p_max_pu,p_set,e_sum_min,e_sum_max,q_set,sign,carrier,marginal_cost,marginal_cost_quadratic,active,build_year,lifetime,capital_cost,efficiency,committable,start_up_cost,shut_down_cost,stand_by_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,weight,p_nom_opt
LU0 0 0 solar rooftop,LU0 0 low voltage,PQ,,0.0,0.0,True,0.0,1038.5625053620397,,0.0,1.0,,-inf,inf,0.0,1.0,solar rooftop,0.020855271991064312,0.0,True,0,40.0,34946.34552358866,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,796.3814931775312
LV0 0 0 solar rooftop,LV0 0 low voltage,PQ,,0.0,0.0,True,0.0,3418.9597854900053,,0.0,1.0,,-inf,inf,0.0,1.0,solar rooftop,0.019558573489115078,0.0,True,0,40.0,34946.34552358866,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,532.7575697923788
ME0 0 0 solar rooftop,ME0 0 low voltage,PQ,,0.0,0.0,True,0.0,1247.1488668814563,,0.0,1.0,,-inf,inf,0.0,1.0,solar rooftop,0.019338763585884378,0.0,True,0,40.0,34946.34552358866,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,998.199279238423
MK0 0 0 solar rooftop,MK0 0 low voltage,PQ,,0.0,0.0,True,0.0,4050.190105216682,,0.0,1.0,,-inf,inf,0.0,1.0,solar rooftop,0.019910234318825423,0.0,True,0,40.0,34946.34552358866,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,2278.8483172873734
NL0 0 0 solar rooftop,NL0 0 low voltage,PQ,,0.0,0.0,True,0.0,30569.94035579412,,0.0,1.0,,-inf,inf,0.0,1.0,solar rooftop,0.02022356215615378,0.0,True,0,40.0,34946.34552358866,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,494.5944776587036
NO1 0 0 solar rooftop,NO1 0 low voltage,PQ,,0.0,0.0,True,0.0,9903.389196800475,,0.0,1.0,,-inf,inf,0.0,1.0,solar rooftop,0.01931702446219414,0.0,True,0,40.0,34946.34552358866,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,127.93132815182815
PL0 0 0 solar rooftop,PL0 0 low voltage,PQ,,0.0,0.0,True,0.0,72838.3970569183,,0.0,1.0,,-inf,inf,0.0,1.0,solar rooftop,0.01904902121051323,0.0,True,0,40.0,34946.34552358866,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,337.1309171023734
PT0 0 0 solar rooftop,PT0 0 low voltage,PQ,,0.0,0.0,True,0.0,17301.271248018624,,0.0,1.0,,-inf,inf,0.0,1.0,solar rooftop,0.019189530032374127,0.0,True,0,40.0,34946.34552358866,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,17073.45277862948
RO0 0 0 solar rooftop,RO0 0 low voltage,PQ,,0.0,0.0,True,0.0,37808.59190777629,,0.0,1.0,,-inf,inf,0.0,1.0,solar rooftop,0.02030189546643154,0.0,True,0,40.0,34946.34552358866,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,2770.323255021997
RS0 0 0 solar rooftop,RS0 0 low voltage,PQ,,0.0,0.0,True,0.0,14002.479684423502,,0.0,1.0,,-inf,inf,0.0,1.0,solar rooftop,0.01932689671545649,0.0,True,0,40.0,34946.34552358866,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,1234.8032010164316
