,Activity,database,Friendly name,Activity long,Unit,Multiplier,Location,Aluminium,Chromium,Cobalt,Copper,Dysprosium,Gallium,Germanium,Graphite,Indium,Iridium,Lithium,Manganese,Neodymium,Nickel,Palladium,Platinum,Praseodymium,Selenium,Silicon,Silver,Tellurium,Vanadium,Zinc
215,"market for battery capacity, Li-ion, NMC811",ei_cutoff_3.10_remind_SSP2-PkBudg650_2050 2025-10-10,Market for NMC811,"market for battery capacity, Li-ion, NMC811 (GLO)",MWh,0.001,GLO,1054.6089732401997,0.0909315013067906,82.4987683775027,997.4353260643358,0.0013150801064275954,0.019126241475866314,2.946931440677832e-07,3.1297426272810003,1.6570018413484352e-06,2.0397703512638663e-08,41.8771711019313,132.8924858689316,0.1469738628135,315.8845941765829,0.005148693147032108,0.00024144995687764602,0.045148527383228367,0.0002198813269831,1.4898002577192178,0.46124531565620003,0.0003822889481603758,0.0380321117842328,95.6046822642231
216,"market for electricity, low voltage",ei_cutoff_3.10_remind_SSP2-PkBudg650_2050 2025-10-10,"North India electricity grid, low voltage","market for electricity, low voltage (IN-Northern grid)",kWh,1.0,IN-Northern grid,0.0004776206594539,4.6377203333496463e-05,8.647322323848854e-07,0.0005522839388708,1.1602163331392306e-08,5.573319435986651e-07,1.9483918973105748e-10,1.2519552082798494e-05,6.5284399813675584e-09,3.5391947610945656e-10,9.75590121328714e-08,4.635583849651407e-05,1.061598831793197e-07,4.8668026827552e-05,8.137401214417945e-10,1.0671213533480228e-09,4.0230105222254266e-08,2.303100908475724e-07,0.0007946912371456,6.594919000945901e-07,-2.8643630410187063e-10,4.5977318288749714e-07,0.0001125179142145
217,"market for battery capacity, Li-ion, NMC811, stationary",ei_cutoff_3.10_remind_SSP2-PkBudg650_2050 2025-10-10,"Market for NMC811, stationary","market for battery capacity, Li-ion, NMC811, stationary (GLO)",MWh,0.001,GLO,1054.6089732401997,0.0909315013067906,82.4987683775027,997.4353260643358,0.0013150801064275954,0.019126241475866314,2.946931440677832e-07,3.1297426272810003,1.6570018413484352e-06,2.0397703512638663e-08,41.8771711019313,132.8924858689316,0.1469738628135,315.8845941765829,0.005148693147032108,0.00024144995687764602,0.045148527383228367,0.0002198813269831,1.4898002577192178,0.46124531565620003,0.0003822889481603758,0.0380321117842328,95.6046822642231
218,"market for battery capacity, Li-ion, NMC622",ei_cutoff_3.10_remind_SSP2-PkBudg650_2050 2025-10-10,Market for NMC622,"market for battery capacity, Li-ion, NMC622 (GLO)",MWh,0.001,GLO,1276.4694037446952,0.10338322537707,197.1104375320406,1274.219818857059,0.0016518481211488837,0.024634387839497528,3.576248607704793e-07,2.2163742596514,2.131252834211727e-06,2.6014634997133116e-08,105.8425253949499,303.71844977232746,0.19348521224690002,344.18248484706646,0.006430874719566968,0.00030241476129684483,0.059885313603314935,0.000277618209325,1.654608834531095,0.5755896600222999,0.00017623838194007603,0.04722869836836746,125.46507291949091
219,"battery production, Li-ion, LFP, rechargeable, prismatic",ei_cutoff_3.10_remind_SSP2-PkBudg650_2050 2025-10-10,LFP,"battery production, Li-ion, LFP, rechargeable, prismatic (CN)",kWh,0.116,CN,1.8137309436465017,0.0055173872212871,0.0014672393633672412,0.9189009855474716,1.6434371916028318e-06,2.6600709222473846e-05,3.7562899819633755e-08,0.003398679563597414,3.065968165333641e-07,3.188010858428743e-09,0.0857466161834724,0.020690028179937932,0.0003560892088756784,0.05382183635915258,9.498224894612127e-06,3.8550054895771096e-07,0.00011514365377442145,4.6615637834363926e-05,0.0664083053661006,0.0008191202636793789,-4.721495371634239e-07,5.20887485508422e-05,0.1585909639029974
220,"market for electricity, medium voltage",ei_cutoff_3.10_remind_SSP2-PkBudg650_2050 2025-10-10,"Alberta electricity market, medium voltage","market for electricity, medium voltage (CA-AB)",kWh,1.0,CA-AB,0.0002144656006071,2.3166050592149307e-05,1.320340928624451e-07,5.344577824587394e-05,4.238280230959363e-09,2.229230979762765e-07,3.6235296424598317e-10,5.052952368966549e-06,1.3918151424795886e-09,1.49377152843199e-10,4.027608338115667e-08,2.464806521355285e-05,3.8814824630723414e-08,2.069571907366948e-05,8.806366347675452e-11,1.749704025676533e-10,1.4557181510571354e-08,2.292522254760626e-08,0.0002481806022419,2.651041494871398e-07,8.091551992137814e-09,1.674523618725223e-07,3.476122583329986e-05
221,"market for electricity, low voltage",ei_cutoff_3.10_remind_SSP2-PkBudg650_2050 2025-10-10,"Swiss electricity market, low voltage","market for electricity, low voltage (CH)",kWh,1.0,CH,0.0003360770235563,3.9454170244450467e-05,7.350718423168173e-07,0.000479545609662,1.0070007371947036e-08,3.572527925817874e-07,1.2944500777480754e-10,8.082108814819892e-06,2.377842921363939e-09,2.084698642364026e-10,6.86955998601652e-08,4.088837979986913e-05,8.828395124718767e-08,4.133172958798994e-05,6.959524724665842e-10,2.7198529671874585e-10,3.414316714291912e-08,1.999519444763634e-07,0.0005627083028352,4.196961342784258e-07,-6.194822810939992e-10,3.997563152242171e-07,9.304677803193128e-05
222,"gas turbine construction, 10MW electrical",ei_cutoff_3.10_remind_SSP2-PkBudg650_2050 2025-10-10,,"gas turbine construction, 10MW electrical (RER)",MW,10.0,RER,36.40056979537647,722.9011469249153,0.6892301733271687,417.34006585881315,0.00051665859605209,0.00771174715149186,0.0011508357599582,0.20552997683570765,0.0079347121892592,0.000289692607516,0.06253891256852508,58.677815261386435,0.01049273430436638,66.6098966135502,0.00060056278466654,0.00024316938535413998,0.00199319690213009,1.729048564646109,2110.480625287788,0.02248502971374324,-0.00069201189652456,0.01667617359018634,41.0763191849387
223,"fuel cell production, polymer electrolyte membrane, 2kW electrical, future",ei_cutoff_3.10_remind_SSP2-PkBudg650_2050 2025-10-10,Fuel Cell,"fuel cell production, polymer electrolyte membrane, 2kW electrical, future (RoW)",kW,1.0,RoW,15.121031639570976,10.53265112726105,0.0332047279848194,5.634240007664356,0.0001138500375341,0.0008722256083873,7.981697806918395e-05,9.514643071099345,4.8308240221654125e-05,1.2060246301461428e-06,0.0065568631346722,1.7428850805245093,0.004838788827581,7.646977515533546,0.0001021702622202,0.0026140045890173,0.0003285076517397,0.0021928647852199,5.6608816601918415,0.0061328747809623,5.826618246584535e-05,0.0016231685432584,1.0701088145397362
224,"market for battery capacity, Li-ion, NCA",ei_cutoff_3.10_remind_SSP2-PkBudg650_2050 2025-10-10,Market for NCA,"market for battery capacity, Li-ion, NCA (GLO)",MWh,0.001,GLO,1076.3438699670276,0.092269073348816,115.1125981894956,1054.8841862722516,0.0013516858077022302,0.019589637642262805,3.042695172437047e-07,3.2253156805672,1.723858688847369e-06,2.1050922988526905e-08,41.6149842737071,47.7934410291182,0.13572209250109998,318.03066773716995,0.005402327196314923,0.0002526064915841032,0.04123408915170277,0.0002297709041056,1.5079611138187434,0.4830576434007,0.0003599531066447329,0.03893225914068778,99.7109854596698
225,"furnace production, wood chips, average storage area, 50kW",ei_cutoff_3.10_remind_SSP2-PkBudg650_2050 2025-10-10,,"furnace production, wood chips, average storage area, 50kW (RoW)",MW,0.05,RoW,560.7966870764394,2.4627513934486824,3.7630367412491976,286.35849472388077,0.009068636642515998,0.06480152250345199,0.0003486688857689,2.0859384077672596,0.0003254569160309,6.0136896036788836e-06,4.015388300457952,244.9218147339592,0.41038014262685396,129.98143255552486,0.0006662949828172055,0.0006033633179872374,0.023821949291372,0.0052113812217879,21.775866344203926,0.886890323428276,0.0033366718681679996,0.10691869561803799,234.07215067342847
226,"market for battery capacity, Li-ion, NMC532, stationary",ei_cutoff_3.10_remind_SSP2-PkBudg650_2050 2025-10-10,"Market for NMC532, stationary","market for battery capacity, Li-ion, NMC532, stationary (GLO)",MWh,0.001,GLO,1174.5835259903,0.0873520341508508,259.9400920250318,1205.6476622982746,0.0016535335257214538,0.02424084872206434,3.675894818667862e-07,2.11760703274,2.069545562726056e-06,2.5689111674639407e-08,99.89895264655759,281.0517418739978,0.18762962513099998,273.54867621875366,0.006074790621346229,0.00028794007915350345,0.05771429277173037,0.0002631503934786,1.3576071757100563,0.5477062950134,0.0002486734958823587,0.046189306168439616,122.7329317177586
227,"nuclear power plant construction, pressure water reactor, 1000MW",ei_cutoff_3.10_remind_SSP2-PkBudg650_2050 2025-10-10,Pressure water reactor - DE,"nuclear power plant construction, pressure water reactor, 1000MW (DE)",MW,1000.0,DE,513.7085065586966,574188.9028503334,3.600066249330798,1395.9421058181495,0.013685218018348112,0.17637943990303728,2.242254488832938,4.4877870916223666,5807.707239469738,0.3699133360993034,1.1951027740477014,1213.4924747959112,0.2444775714279405,877.3417557826865,0.0020724100889697255,0.0010129787222418146,0.055279973515548836,675.9900512101837,1034530.9250437164,8.823067899720163,0.002548508391867088,1.141963223529502,475.6062833472469
228,"battery production, Li-ion, NMC811, rechargeable, prismatic",ei_cutoff_3.10_remind_SSP2-PkBudg650_2050 2025-10-10,NMC811,"battery production, Li-ion, NMC811, rechargeable, prismatic (CN)",kWh,0.149,CN,1.6978533641378848,0.0214271175312561,0.1335816780876423,1.606236512000396,1.8918498923855698e-06,2.8848696117027782e-05,5.305100107466905e-08,0.005007833955404027,3.795206724939702e-07,4.2642212689662724e-09,0.06777744063039262,0.2137881436698557,0.00022414621978695702,0.5091351916928336,8.321543490514158e-06,3.7578879293226126e-07,7.046514397023322e-05,5.252161412337155e-05,0.3567730558610558,0.0007313237568080537,-6.298302813072717e-07,5.855253421487093e-05,0.14730994556594362
229,"auxiliary heating unit production, electric, 5kW",ei_cutoff_3.10_remind_SSP2-PkBudg650_2050 2025-10-10,,"auxiliary heating unit production, electric, 5kW (RoW)",MW,0.005,RoW,4.70543029820436,0.2257755428561057,0.03391330978438,4.16677303021064,2.5833157242709672e-05,0.00041877928794610504,3.0867241991292943e-08,0.03267500759224,1.6611092848249564e-07,2.261813701086508e-09,0.0033349091087625815,0.34495986656169997,0.0005008145778025368,30.4072663073228,5.470434532557141e-06,2.349574516463053e-06,8.437770660929524e-05,7.446827411671779e-06,0.0253556931248767,0.0011493271338132007,3.371900099360918e-05,0.0008196673379622325,2.6876803306252
230,"wind turbine construction, 4.5MW, onshore, direct drive",ei_cutoff_3.10_remind_SSP2-PkBudg650_2050 2025-10-10,"Wind, onshore (Enercon E112), DD","wind turbine construction, 4.5MW, onshore, direct drive (GLO)",MW,4.5,GLO,1665.0712986895505,4426.355689831857,17.615614329400337,8708.956917252875,9.268374287834861,0.23166390289926453,0.0393412162448933,9.334825491299068,0.2583162785022841,0.0034964510653382,4.9302210276785985,2934.076493363938,97.61542807908849,1314.6622100630204,0.013355744369256555,0.005055072684213156,35.07029728797137,16.938894658321182,24544.098374487563,1.3301510751037153,-0.00801574003089129,50.86398211562265,1508.974139022853
231,"photovoltaic plant construction, 570kWp, multi-Si, on open ground",ei_cutoff_3.10_remind_SSP2-PkBudg650_2050 2025-10-10,PV plant - multi-Si,"photovoltaic plant construction, 570kWp, multi-Si, on open ground (GLO)",MW,0.57,GLO,19575.385244234643,295.04813868706265,7.169853471664382,3679.705616055653,0.02271228622624123,18.510184490611195,0.0016159439716666,660.2542628389156,0.0145911307420359,0.0003056847349322,1.4317891024867533,823.5696306240698,0.6042433893403876,561.5416403368403,0.005479748040919299,0.0023082087793828074,0.17354599860015896,0.8728328688189341,15561.715941928853,36.96989686896482,0.02726750619717281,0.7958546287809313,1957.9327699225526
232,"photovoltaic slanted-roof installation, 3 kWp, CdTe, panel, mounted, on roof",ei_cutoff_3.10_remind_SSP2-PkBudg650_2050 2025-10-10,Rooftop PV - CdTe,"photovoltaic slanted-roof installation, 3 kWp, CdTe, panel, mounted, on roof (RER)",MW,0.003,RER,13300.531788186221,0.7995063474583874,8.7825218849513,6043.50950470218,0.013444347693587566,0.26620144830526665,4.465647391759815e-06,32.748351142926666,4.805459995904244e-05,9.264703615733396e-07,0.6900418380510333,273.6135057982202,0.21976134587829999,344.2292698841953,0.015241834444544283,0.0032463050616084134,0.0619164434881,0.0075246010605707,60.79133240915997,1.9282805315653,56.6266699244806,0.48745302247396666,949.734141866123
233,"market for electricity, low voltage",ei_cutoff_3.10_remind_SSP2-PkBudg650_2050 2025-10-10,"British electricity market, low voltage","market for electricity, low voltage (GB)",kWh,1.0,GB,0.0003050428610417,5.697643536424223e-05,7.770159795520698e-07,0.0004847843317867,1.8846287504807348e-08,2.484646033516476e-07,4.31568866882518e-10,5.767054019882034e-06,3.410331163696774e-09,3.0719400250146597e-10,9.247416369549885e-08,6.288451077142941e-05,1.555273098170674e-07,5.64838695213341e-05,7.127457248832207e-10,2.9151626678299877e-10,6.171173907682386e-08,2.033502092838712e-07,0.000479871104297,3.058486602525687e-07,6.533804214725579e-09,7.510564122378917e-07,0.0001285368937424
234,"wind turbine construction, 750kW, onshore, direct drive",ei_cutoff_3.10_remind_SSP2-PkBudg650_2050 2025-10-10,"Wind, onshore, DD","wind turbine construction, 750kW, onshore, direct drive (RoW)",MW,0.75,RoW,2076.331770633256,906.4932485909766,10.160046229808675,3693.019028453056,12.349013222186356,0.19387916264613292,0.0052836792905447,10.145612553660483,0.0528390606558703,0.0004426810075767,3.987802291883717,2886.9683313436904,129.88847956801217,1494.7847299786083,0.008493003457770534,0.0025178581358576,46.74338203032971,1.3058384236816216,2672.421636875914,1.2204007664324357,0.004660188325512667,67.6316474240624,2342.8094534634806
235,"transmission network construction, electricity, medium voltage",ei_cutoff_3.10_remind_SSP2-PkBudg650_2050 2025-10-10,Medium voltage transmission network construction,"transmission network construction, electricity, medium voltage (RoW)",kilometer,1.0,RoW,1973.391930005393,85.26382084867727,3.644725873015079,2417.1468122780852,0.0011564183193339,0.0165809792690721,0.0003791050933312,3.433438132862705,0.004164926139284,1.9755682537767505e-05,0.2072737863988036,23.424193710288993,0.0375004175851545,93.824057283155,0.0034482340328615,0.0012204614374447,0.0070105194893111,1.0017061400843834,1164.783151857395,0.0666096098732798,-0.0056000288331464,0.0317424440046106,222.33092295874096
236,"electricity production, nuclear, boiling water reactor",ei_cutoff_3.10_remind_SSP2-PkBudg650_2050 2025-10-10,,"electricity production, nuclear, boiling water reactor (CH)",kWh,1.0,CH,1.2324103082449678e-05,1.5170281172330638e-05,4.2976799319947367e-08,1.2277651164630246e-05,1.3252175688400348e-10,2.775899589210502e-09,2.2393612969685105e-11,7.63836105259387e-08,1.6866965767631665e-08,3.676121379762813e-12,1.2124165609196e-08,5.7458362776162405e-06,8.185688625397492e-09,1.1169696460469075e-05,1.545014186855554e-11,9.483436798554209e-12,2.460160231731373e-09,5.260572250165059e-09,2.7936355333960072e-05,2.9863384209749026e-08,6.617968474532558e-11,6.419311134631833e-09,6.6159927716434104e-06
