component,location,carrier,0
Generator,AL0 0,services urban decentral solar thermal,0.01830707926943598
Generator,AL0 0,solar,0.14325109125661734
Generator,AL0 0,solar rooftop,0.14056183173057862
Generator,AL0 0,solar-hsat,0.1571493490681111
Generator,AL0 0,urban central solar thermal,0.01781037537295422
Generator,AT0 0,load,0.0
Generator,AT0 0,onwind,0.1251156060767249
Generator,AT0 0,residential rural solar thermal,0.020629988891883517
Generator,AT0 0,residential urban decentral solar thermal,0.02047496941567891
Generator,AT0 0,ror,0.46429069269405293
Generator,AT0 0,services rural solar thermal,0.019393832052956677
Generator,AT0 0,services urban decentral solar thermal,0.017258432641223186
Generator,AT0 0,solar,0.11335864605441912
Generator,AT0 0,solar rooftop,0.11134644253254458
Generator,AT0 0,solar-hsat,0.12098778727698631
Generator,AT0 0,urban central solar thermal,0.0223228936510004
Generator,BA0 0,load,0.0
Generator,BA0 0,offwind-ac,0.10664280183302234
Generator,BA0 0,onwind,0.04021591948327567
Generator,BA0 0,residential rural solar thermal,0.019376526464730214
Generator,BA0 0,residential urban decentral solar thermal,0.019003107801736623
Generator,BA0 0,services rural solar thermal,0.016962995808957104
Generator,BA0 0,services urban decentral solar thermal,0.01605355382629398
Generator,BA0 0,solar,0.1292493279214456
Generator,BA0 0,solar rooftop,0.13034923120300237
Generator,BA0 0,solar-hsat,0.1424174864100048
Generator,BA0 0,urban central solar thermal,0.01882162268671159
Generator,BE0 0,load,0.0
Generator,BE0 0,nuclear,0.6592871988871394
Generator,BE0 0,offwind-ac,0.4928858166062428
Generator,BE0 0,offwind-dc,0.5316190830192763
Generator,BE0 0,onwind,0.28128322804390493
Generator,BE0 0,residential rural solar thermal,0.012767575319703899
Generator,BE0 0,residential urban decentral solar thermal,0.018427295811020136
Generator,BE0 0,ror,0.5043214188039923
Generator,BE0 0,services rural solar thermal,0.016641372572043858
Generator,BE0 0,services urban decentral solar thermal,0.016376644449770633
Generator,BE0 0,solar,0.10829191237530622
Generator,BE0 0,solar rooftop,0.09312115235944689
Generator,BE0 0,solar-hsat,0.11378779644558532
Generator,BE0 0,urban central solar thermal,0.0202106704066762
Generator,BG0 0,load,0.0
Generator,BG0 0,nuclear,0.6180762050485258
Generator,BG0 0,offwind-ac,0.2788186665678097
Generator,BG0 0,offwind-dc,0.3392713228219195
Generator,BG0 0,onwind,0.11476452580666481
Generator,BG0 0,residential rural solar thermal,0.02178539773594574
Generator,BG0 0,residential urban decentral solar thermal,0.024005053695514846
Generator,BG0 0,ror,0.19048251811594202
Generator,BG0 0,services rural solar thermal,0.022735614362879474
Generator,BG0 0,services urban decentral solar thermal,0.021549337603243138
Generator,BG0 0,solar,0.14195287208934046
Generator,BG0 0,solar rooftop,0.14349084938052678
Generator,BG0 0,solar-hsat,0.14186233193868883
Generator,BG0 0,urban central solar thermal,0.025980006576966246
Generator,CH0 0,load,0.0
Generator,CH0 0,nuclear,0.603031390110952
Generator,CH0 0,onwind,0.02936909540625991
Generator,CH0 0,residential rural solar thermal,0.019760259557554373
Generator,CH0 0,residential urban decentral solar thermal,0.02304356957030463
Generator,CH0 0,ror,0.2501264639436421
Generator,CH0 0,services rural solar thermal,0.01738873549349899
Generator,CH0 0,services urban decentral solar thermal,0.020257194913883374
Generator,CH0 0,solar,0.12785961601993004
Generator,CH0 0,solar rooftop,0.1236708554269716
Generator,CH0 0,solar-hsat,0.1555103927597708
Generator,CH0 0,urban central solar thermal,0.02523902135366745
Generator,CZ0 0,load,0.0
Generator,CZ0 0,nuclear,0.6888699417766693
Generator,CZ0 0,onwind,0.15693116228717785
Generator,CZ0 0,residential rural solar thermal,0.015841499452819496
Generator,CZ0 0,residential urban decentral solar thermal,0.017312801359837197
Generator,CZ0 0,ror,0.36973225032926155
Generator,CZ0 0,services rural solar thermal,0.01605232226043171
Generator,CZ0 0,services urban decentral solar thermal,0.01459937717755442
Generator,CZ0 0,solar,0.10941674468726148
Generator,CZ0 0,solar rooftop,0.09499139581117075
Generator,CZ0 0,solar-hsat,0.11499698432513678
Generator,CZ0 0,urban central solar thermal,0.01982435598198585
Generator,DE0 0,load,0.0
Generator,DE0 0,nuclear,0.7363839651069162
Generator,DE0 0,offwind-ac,0.48544844235174345
Generator,DE0 0,offwind-dc,0.5822956012356604
Generator,DE0 0,onwind,0.24408206965098264
Generator,DE0 0,residential rural solar thermal,0.01785606156284223
Generator,DE0 0,residential urban decentral solar thermal,0.021507922092045075
Generator,DE0 0,ror,0.4636573545017423
Generator,DE0 0,services rural solar thermal,0.01903975463017577
Generator,DE0 0,services urban decentral solar thermal,0.019049112843583165
Generator,DE0 0,solar,0.10680175385270761
Generator,DE0 0,solar rooftop,0.08999370962653597
Generator,DE0 0,solar-hsat,0.11275828652086618
Generator,DE0 0,urban central solar thermal,0.022443403907605606
Generator,DE0 1,load,0.0
Generator,DE0 1,nuclear,0.7283096913862068
Generator,DE0 1,offwind-ac,0.47184784753164005
Generator,DE0 1,offwind-dc,0.5228603592527385
Generator,DE0 1,onwind,0.19484201023789394
Generator,DE0 1,residential rural solar thermal,0.01993377303591199
Generator,DE0 1,residential urban decentral solar thermal,0.0203936270609809
Generator,DE0 1,ror,0.4686764966973425
Generator,DE0 1,services rural solar thermal,0.019267797807475336
Generator,DE0 1,services urban decentral solar thermal,0.017445136706303325
Generator,DE0 1,solar,0.10963080956596444
Generator,DE0 1,solar rooftop,0.09450654288399986
Generator,DE0 1,solar-hsat,0.11023922787849276
Generator,DE0 1,urban central solar thermal,0.022498310041812047
Generator,DK0 0,load,0.0
Generator,DK0 0,offwind-ac,0.48007426328342323
Generator,DK0 0,offwind-dc,0.5032144149291333
Generator,DK0 0,onwind,0.39499480208700805
Generator,DK0 0,residential rural solar thermal,0.013843208455977824
Generator,DK0 0,residential urban decentral solar thermal,0.018061026638663324
Generator,DK0 0,services rural solar thermal,0.015703681059126822
Generator,DK0 0,services urban decentral solar thermal,0.014707287848957288
Generator,DK0 0,solar,0.09890711149591176
Generator,DK0 0,solar rooftop,0.08862289184405917
Generator,DK0 0,solar-hsat,0.1127988284829053
Generator,DK0 0,urban central solar thermal,0.01613747114397879
Generator,DK1 0,load,0.0
